1	Plaza Vea                     	1	Buenos Aires                  	9693	9693 - P Vea Villa Urquiza.			N
2	Disco                         	1	Buenos Aires                  	9248	248 - San Bernardo.	-36.688037000000001	-56.683531000000002	N
2	Disco                         	1	Buenos Aires                  	9630	630 - Entre R¡os y Belgrano.	-34.613386900000002	-58.391730799999998	N
2	Disco                         	1	Buenos Aires                  	9639	639 - Pinocho VII.	0.0	0.0	N
2	Disco                         	1	Buenos Aires                  	9701	701 - Directorio.	-34.629587999999998	-58.445295000000002	N
2	Disco                         	1	Buenos Aires                  	9977	977 - SM 977 Cuba.	-34.564534999999999	-58.451563999999998	N
4	Vea                           	1	Buenos Aires                  	242	912 - Junin II	-34.583210000000001	-60.954189999999997	N
4	Vea                           	1	Buenos Aires                  	248	917 - Mataderos II			N
4	Vea                           	1	Buenos Aires                  	249	944 - Tapiales	-34.691167999999998	-58.498984999999998	N
4	Vea                           	1	Buenos Aires                  	250	168 - Lope de Vega			N
4	Vea                           	1	Buenos Aires                  	252	983 - Miramar	0.0	0.0	N
4	Vea                           	1	Buenos Aires                  	255	995 - Alvarez Jonte			N
4	Vea                           	1	Buenos Aires                  	263	8 - Chivilcoy	-34.891834199999998	-60.020600000000002	N
4	Vea                           	1	Buenos Aires                  	266	51 - NECOCHEA	-38.561925000000002	-58.729801999999999	N
4	Vea                           	1	Buenos Aires                  	270	150 - Padua	-34.665726999999997	-58.696967000000001	N
4	Vea                           	1	Buenos Aires                  	277	52 - SAN CLEMENTE	-36.360308000000003	-56.722051	N
4	Vea                           	1	Buenos Aires                  	430	430 - Funes	-32.946868000000002	-60.636206000000001	N
4	Vea                           	1	Buenos Aires                  	631	631 - SAN PEDRO	-33.677925999999999	-59.668511000000002	N
4	Vea                           	1	Buenos Aires                  	668	668 - Rojas	-34.403227000000001	-60.733159000000001	N
4	Vea                           	1	Buenos Aires                  	669	669 - Pergamino	-33.899130999999997	-60.576621000000003	N
4	Vea                           	1	Buenos Aires                  	674	674 - Resistencia	0.0	0.0	N
4	Vea                           	1	Buenos Aires                  	677	677 - Saladillo	-35.635604000000001	-59.776488999999998	N
4	Vea                           	1	Buenos Aires                  	685	685 - Chajari	-30.739331	-57.966513999999997	N
4	Vea                           	1	Buenos Aires                  	686	686 - Gualeguaych£	-33.010390999999998	-58.526404999999997	N
4	Vea                           	1	Buenos Aires                  	688	688 - Goya II	-29.141976	-59.265382000000002	N
4	Vea                           	1	Buenos Aires                  	691	691 - Paso de los Libres	-29.715194	-57.088844999999999	N
4	Vea                           	1	Buenos Aires                  	707	707 - Don Torcuato	-34.493400000000001	-58.627173999999997	N
4	Vea                           	1	Buenos Aires                  	711	711 - Tandil	-37.327035000000002	-59.132930999999999	N
4	Vea                           	1	Buenos Aires                  	741	741 - Barracas	-34.637957	-58.377636000000003	N
4	Vea                           	1	Buenos Aires                  	752	752 - Trelew	-43.268799999999999	-65.281627	N
4	Vea                           	1	Buenos Aires                  	767	767 - Junin	-34.595804999999999	-60.928165	N
4	Vea                           	1	Buenos Aires                  	854	854 - Concordia	-31.384416999999999	-58.020819000000003	N
4	Vea                           	1	Buenos Aires                  	6943	943 - Paran 	-31.755794999999999	-60.496476999999999	N
4	Vea                           	1	Buenos Aires                  	9005	5 - Mansilla.	-34.590859000000002	-58.414864999999999	N
4	Vea                           	1	Buenos Aires                  	9006	6 - Alberdi.	-34.625104	-58.447308999999997	N
4	Vea                           	1	Buenos Aires                  	9010	10 - Larrea.	-34.598613999999998	-58.402397999999998	N
4	Vea                           	1	Buenos Aires                  	9011	11 - Castro Barros.	-34.613838000000001	-58.420485999999997	N
4	Vea                           	1	Buenos Aires                  	9019	19 - Bulnes.	-34.599373	-58.417696999999997	N
4	Vea                           	1	Buenos Aires                  	9020	20 - Lan£s.	-34.703164999999998	-58.391990999999997	N
4	Vea                           	1	Buenos Aires                  	9024	24 - Galer¡a.	-34.593668000000001	-58.404328999999997	N
4	Vea                           	1	Buenos Aires                  	9031	31 - Remedios de Escalada.	-34.726218000000003	-58.395637999999998	N
